query_id	result_count	time_ms	status	error_type
373	1	30.177	200	
374	2157	7.359	200	
375	361	33.193	200	
376	15	19.552	200	
377	8	26.363	200	
378	7	21.328	200	
379	9	19.280	200	
380	51	27.640	200	
381	24	36.427	200	
382	136	31.846	200	
383	3	0.530	200	
384	220	21.594	200	
385	4610	15.441	200	
386	23	24.586	200	
387	1	28.471	200	
388	175	27.821	200	
389	0	33.173	200	
390	63	35.600	200	
391	0	26.524	200	
392	13	35.678	200	
393	75	32.057	200	
394	10	33.538	200	
395	0	72.378	200	
396	4	31.355	200	
397	1166	28.471	200	
398	181	27.534	200	
399	132	37.012	200	
400	6243	21.098	200	
401	38	32.093	200	
402	16307	29.619	200	
403	0	14.025	200	
404	88	10.776	200	
405	6813	26.047	200	
406	6	22.210	200	
407	884	56.460	200	
408	159	13.058	200	
409	586	14.125	200	
410	33303	31.206	200	
411	31	15.793	200	
412	792	12.820	200	
413	6918	27.523	200	
414	0	27.426	200	
415	7694	10.102	200	
416	558	15.859	200	
417	21	18.347	200	
418	608	9.399	200	
419	1	33.467	200	
420	6	24.760	200	
421	37	16.636	200	
422	18	17.111	200	
423	7	26.584	200	
424	1167	28.040	200	
425	8	44.798	200	
426	109	30.651	200	
427	81	18.064	200	
428	151	24.695	200	
429	11	30.082	200	
430	92	20.952	200	
431	0	64.793	200	
432	1	49.621	200	
433	13	13.851	200	
434	0	16.132	200	
435	1	39.433	200	
436	3	14.986	200	
437	4	23.788	200	
438	1	7.954	200	
439	1	70.867	200	
440	0	30.074	200	
441	12	38.757	200	
442	3	13.538	200	
443	1	29.432	200	
444	1	15.588	200	
445	1	14.543	200	
446	17	25.800	200	
447	1	8.607	200	
448	5	6.081	200	
449	1	4.114	200	
450	9	24.926	200	
451	1	15.908	200	
452	5	30.288	200	
453	0	36.761	200	
454	76	19.157	200	
455	0	4.877	200	
456	0	6.167	200	
457	0	0.428	200	
458	0	42.237	200	
459	3	31.797	200	
460	1	6.044	200	
461	1	24.953	200	
462	0	15.099	200	
463	0	23.285	200	
464	1	18.181	200	
465	0	113.861	200	
466	0	27.195	200	
467	0	66.785	200	
468	4530	175.777	200	
469	542	138.922	200	
470	98	73.719	200	
471	0	29.206	200	
472	0	32.177	200	
473	12	75.641	200	
474	656	329.985	200	
475	178	105.811	200	
476	4223	95.717	200	
477	0	70.241	200	
478	1252	32.623	200	
479	2419	51.995	200	
480	18487	133.138	200	
481	0	87.565	200	
482	1	66.745	200	
483	44	62.859	200	
484	0	53.950	200	
485	6289	83.089	200	
486	5779	116.013	200	
487	0	81.516	200	
488	0	47.415	200	
489	0	49.725	200	
490	1	141.656	200	
491	0	10.240	200	
492	0	8.042	200	
493	2	34.406	200	
494	1	47.869	200	
495	1	24.450	200	
496	1	36.641	200	
497	1	29.333	200	
498	1	85.518	200	
499	33165	248.413	200	
500	1	19.876	200	
501	2	90.875	200	
502	0	1014.717	200	
503	1	104.288	200	
504	1	19.646	200	
505	1	34.573	200	
506	2	65.123	200	
507	1	30.860	200	
508	2	16.509	200	
509	0	25.647	200	
510	60	65481.563	200	
511	0	23.577	200	
512	25	3405.610	200	
513	0	21.688	200	
514	335	35.788	200	
515	0	35.521	200	
516	0	14.711	200	
517	10	8637.788	200	
518	1	18.154	200	
519	19057	849.687	200	
520	7036	4144.163	200	
521	1	5671.148	200	
522	11697	12913.194	200	
523	1	51.011	200	
524	131540	45.113	200	
525	131697	74.948	200	
526	1000000	241.630	200	
527	39524	29.489	200	
528	1057	31.647	200	
529	1000000	179.301	200	
530	1	23.920	200	
531	773768	192.188	200	
532	1000000	206.828	200	
533	2546	11.162	200	
534	1000000	204.460	200	
535	91	26.737	200	
536	271265	68.853	200	
537	1	232.036	200	
538	1	47.143	200	
539	1	62.113	200	
540	1	0.755	200	
541	1	25.874	200	
542	1	0.443	200	
543	1	40.612	200	
544	1	0.755	200	
545	1	14.932	200	
546	1	0.319	200	
547	0	14.403	200	
548	7	219.864	200	
549	0	26.065	200	
550	0	24.754	200	
551	3	50.053	200	
552	0	8.371	200	
553	0	44.298	200	
554	12690	1610.292	200	
